Case title,Jurisdiction of Origin,UNCAC Offenses Implicated,Money laundering Implicated,Legal Basis for Asset Recovery,Contributing Factors in Asset Recovery,Assets Adjudicated/Not Yet Returned (USD),Case Summary,Disposition of Criminal Case(s)
Zine El Abidine Ben Ali (Switzerland),Commission for the Investigation of Corruption and Embezzlement; Attorney Enrico Monfrini (asset recovery),"Art.17, Art.23",Yes,Case in Investigatory/Asset Restraint Stage,Ongoing Case,,"
	According to Swissinfo.ch. in April 2014, the Swiss Federal Prosecutor's Office announced that it would unfreeze US $40 million being held in Swiss banks:  “The decision is the result of good collaboration with the Tunisian authorities,” Federal Prosecutor Michael Lauber told Swiss public radio, SRF, on Friday.

	 

	The Tunisian authorities were able to provide enough evidence to allow the monies, which were linked to Tunisia’s former autocrat Zine el-Abidine Ben Ali, to be returned prematurely.

	 

	However, the decision is still not definitive, as an appeal could be lodged at the Federal Criminal Court.

	 

	The cabinet blocked around CHF60 million ($68.5 million) in assets from Tunisia after the fall of Ben Ali in January 2011.

	 

	The Federal Prosecutor’s Office hopes that the rest of the funds can also be returned soon. “There are other millions that are blocked in Switzerland. We are trying to go forward there as well,” Lauber stated."" (Source: Swissinfo.ch, ""Swiss unfreeze $40 million of Tunisian assets,"" April 11, 2014.)

	 

	According to a media release by the Swiss Federal Department of Foreign Affairs of January 19, 2011, the Swiss government announced that it had frozen assets connected to Mr. Ben Ali.  The ordinances which originally applied for three years was further extended in 2014 for three additional years.  (Source: Swiss Federal Department of Foreign Affairs Media Release, ""Federal Council orders freeze of any assets held by former Tunisian President Ben Ali in Switzerland,"" January 19, 2011; Swiss Federal Department of Foreign Affairs, ""Freezing of Assets: Tunisia"", last updated April 28, 2016.)   The Swiss government subsequently announced that it had received a request for assistance from Tunisian authorities, and the January 19th Special Ordinance was amended on January 28th and February 4 with an updated list of individuals whose assets are to be frozen.  (Source:  Swiss Ordinance, Verordnung uber Massnahmen gegen gewisse Personen aus Tunesien, Anderung, February 4, 2011 (amending ordinances of January 28, 2011 and January 19, 2011.)   According to a September 27, 2011 statement by the Swiss Federal Department of Foreign Affairs, ""Soon after the overthrow of Ben Ali, Switzerland became the first country in the world to freeze the assets of persons associated with the regime.  These total some 60 million Swiss francs. 'Returning illicit funds is our first priority, and is a core element in the support that Switzerland would like to provide for Tunisia's transformation process,' said Federal President Calmy-Rey before the conference [of the EU-Tunisia Task Force]."" (Source: Swiss Federal Department of Foreign Affairs, ""Federal President Calmy-Rey at EU-Tunisia Task Force meeting in Tunis,"" September 27, 2011.)

	 ","According to a January 26, 2011 media release by INTERPOL, Mr. Ben Ali's arrest was sought by Tunisia on charges of alleged property theft and illegal transfer of foreign currency. (Source: INTERPOL media release, ""Tunisia seeks ousted President and family via INTERPOL,"" January 26, 2011, accessed at http://www.interpol.int/public/ICPO/PressReleases/PR2011/PR007.asp.) According to secondary sources, Mr. Ben Ali was convicted in absentia in June 2011 on theft and unlawful possesion of cash and jewelry; in July 2011, he was convicted of property related charges. (Source: BBC News, ""Tunisia's Ben Ali guilty on drugs and gun charges,"" July 4, 2011 and ""Tunisia's Ben Ali guilty of corrupt property deals,"" July 29, 2011) and in June 2012, he was sentenced by a Tunisian military court to life imprisonment for his complicity in the murder and attempted murder of demonstrators; Human Rights Watch noted that Mr. Ben Ali has been tried and convicted in absentia and if he returned to Tunisia, he would be entitied to a new trial. (Source: Clive Baldwin, ""After Ben-Ali's Conviction: The State of Tunisian Justice,"" Human Rights Watch, June 16, 2012.)"
Zine El Abidine Ben Ali (United Kingdom),Commission for the Investigation of Corruption and Embezzlement; Attorney Enrico Monfrini (civil asset recovery),"Art.17, Art.23",Yes,Case in Investigatory/Asset Restraint Stage,Ongoing Case,,"According to the United Kingdom's Parliamentary website (http://services.parliament.uk/hansard/Lords/bydate/20111003/writtenanswe...), On October 3, 2011, the following written response was given to ""Question Asked by Lord Hylton: To ask Her Majesty’s Government whether they, or international institutions of which they are a member, are holding frozen Tunisian funds; if so, whether they are taking action to release them in order to aid the Tunisian economy.[HL11926] The Minister of State, Foreign and Commonwealth Office (Lord Howell of Guildford): An EU-wide asset freeze was imposed against 48 Tunisian individuals on 4 February. The Treasury subsequently introduced criminal penalties for breaches of the asset freeze and notified the financial sector of the measures. The Treasury also added the list of Tunisia targets to its consolidated list of financial sanctions which is checked by the sector against client and customer databases. A small amount of assets have been frozen within the UK. We cannot disclose further details at this stage but are working with the Tunisian Government to ensure they understand the legal processes involved in releasing and repatriating these assets. Assets have been frozen in other jurisdictions across Europe.""","According to a January 26, 2011 media release by INTERPOL, Mr. Ben Ali's arrest was sought by Tunisia on charges of alleged property theft and illegal transfer of foreign currency. (Source: INTERPOL media release, ""Tunisia seeks ousted President and family via INTERPOL,"" January 26, 2011, accessed at http://www.interpol.int/public/ICPO/PressReleases/PR2011/PR007.asp.) According to secondary sources, Mr. Ben Ali was convicted in absentia in June 2011 on theft and unlawful possesion of cash and jewelry; in July 2011, he was convicted of property related charges. (Source: BBC News, ""Tunisia's Ben Ali guilty on drugs and gun charges,"" July 4, 2011 and ""Tunisia's Ben Ali guilty of corrupt property deals,"" July 29, 2011) and in June 2012, he was sentenced by a Tunisian military court to life imprisonment for his complicity in the murder and attempted murder of demonstrators; Human Rights Watch noted that Mr. Ben Ali has been tried and convicted in absentia and if he returned to Tunisia, he would be entitied to a new trial. (Source: Clive Baldwin, ""After Ben-Ali's Conviction: The State of Tunisian Justice,"" Human Rights Watch, June 16, 2012.)"
Juthamas Siriwan (United States),National Anti-Corruption Commission of Thailand; Attorney General's Office,"Art.16, Art.19, Art.20, Art.23",Yes,Criminal Prosecution and Forfeiture,Ongoing Case,,"
	As of May 22, 2016, the US criminal case was ongoing.  ( U.S. v. Siriwan, et al., Case No. 2:09-CR-00081 (C.D. Cal.), Court Docket Report as of May 22, 2016.)

	 

	In January 2009, United States authorities filed a criminal indictment against Ms. Siriwan and her daughter on charges of money laundering and transporting funds to support unlawful activity. The indictment included criminal forfeiture allegations against bank accounts located in Isle of Jersey (HSBC Bank International Limited, Acct #11108670 in amount of $411,434.80; Singapore (Citibank Bank, Acct #0259766-001 in the amount of $543,456.79 and Standard Chartered Bank, Acct #25-0-852573-6); United Kingdom (HSBC Bank PLC, Acct #22751518).  The indictment also noted that under Section 152 of Thailand's Penal Code, it is unlawful for any government official, having the duty of managing or looking after any activity, to take the interest for the benefit of herself or another person concerning such activity. (Source: U.S. v. Siriwan, et al., Case No. 2:09-CR-00081 (C.D. Cal.), Indictment filed January 28, 2009.)  Ms. Siriwan has filed a Motion to Dismiss the Indictment in January 2012. (Source:  U.S. v. Siriwan, et al., Case No. 2:09-CR-00081 (C.D. Cal.), Court Docket Report, entry for January 30, 2012.)   See also ""Disposition of criminal case"" for update on the case in Thailand.","According to the Joint Status Report and Indictment filed by Thai Special Prosecutor (Exh A in Thai and Exh B in English translation), Ms. Siriwan has been charged with violations of Thai laws pertaining to conduct of Thai officials and the Criminal Code pertaining to acceptance of bribery. The US criminal case against Ms. Siriwan is ongoing as of May 22, 2016. (Source: US v. Siriwan, Case No. 2:09-cr-81 (C.D. Cal), Joint Status Report of the Parties filed on October 13, 2015 and Exhibits A and B; Court Docket Report as of May 22, 2016."
Juthamas Siriwan / Gerald and Patricia Green Case,National Anti-Corruption Commission of Thailand,"Art.16, Art.19, Art.20, Art.23",Yes,Criminal Prosecution and Forfeiture; Criminal Fine; Criminal Restitution,"Unknown if Thailand was recipient of restitution ordered in the Greens' case, but US Sentencing Memorandum submitted to the court in January 2010 stated that ""Restitution to Thailand of bribe amounts is discretionary under federal statute, but is necessary to comply with U.S. treaty obligations and to serve the ends of justice.""  (Source: U.S. v. Green, Case No. 2:08-cr-00059-GW (C.D. Cal), Government's Combined Sentencing Position for Defendants Gerald Green and Patricia Green filed January 14, 2010.)","Judgment under appeal; restitution ($250,000 - joint and several liability; $1,049, 465 plus shares in Artist Design Corp Defined Benefit Plan; Unspecified in judgment how much, if any, restitution may be given to Thailand] ","Gerald and Patricia Green, convicted in the U.S. District Court for the Central District of California, of paying bribes to Juthamas Siriwan were ordered to pay $250,000 in restitution as part of their September 10, 2010 Amended Judgment. The Judgment does not indicate the recipients of the restitution, but the Government's sentencing memorandum requested that the court ""inpose restitution to Thailand of $1,822,494 on defendants jointly and severally.""  (Source: U.S. v. Green, Case No. 2:08-cr-00059-GW (C.D. Cal.), Government's Supplemental Sentencing Memorandum for Defendants Gerald Green and Patricia Green and Exhibit E (Letter by the National Anti-Corruption Commission of Thailand regarding their investigation of the Juthamas Siriwan bribery case), both filed on March 12, 2010; Government's Combined Sentencing Position for Defendants Gerald Green and Patricia Green filed January 14, 2010.)  The Greens were also ordered to pay a money judgment of $1,049,465 and their share in their company Artist Design Corp's Defined Benefit Plan.","According to the Joint Status Report and Indictment filed by Thai Special Prosecutor (Exh A in Thai and Exh B in English translation), Ms. Siriwan has been charged with violations of Thai laws pertaining to conduct of Thai officials and the Criminal Code pertaining to acceptance of bribery. The US criminal case against Ms. Siriwan is ongoing as of May 22, 2016. (Source: US v. Siriwan, Case No. 2:09-cr-81 (C.D. Cal), Joint Status Report of the Parties filed on October 13, 2015 and Exhibits A and B; Court Docket Report as of May 22, 2016.)"
Kazakhstan Oil Mining / James Giffen - Mercator Corporation (Switzerland),N/A,"Art.16, Art.23",Yes,Other (Memorandum of Understanding),"Memorandum of Understanding by Kazakhstan, Switzerland and the United States; World Bank signed a Service Agreement to assist in the establishment of the BOTA Foundation and implement the BOTA Program.  The Government of the Republic of Kazakhstan pays a fixed annual fee to the World Bank for the contracted Services; these payments are posted to government accounts and are not disclosed in the Foundation's special purpose financial statements. (Source:  BOTA Foundation, Independent Auditor's Report and special financial statements for the year ended 31 December 2010.)",,"See also US entry.  Pursuant to an Amended Memorandum of Understanding signed in May 2008 by the Governments of Kazakhstan, Switzerland and the United States, $84 million were to be returned to Kazakhstan. The funds were to be used to establish the BOTA Foundation, with its operations overseen by the World Bank.  (Source: Amended Memorandum of Understanding by the Swiss Confederation, United States and the Republic of Kazakhstan (May 2008).  According to the BOTA Foundation Independent Auditor's Report and special financial statements for the year ended 31 December 2013, the BOTA Program is funded with US$ 115 million (principal and interest) held on account No. T-94025 with Pictet and Cie in Switzerland in the name of the Treasury of the Ministry of Finance of the Republic of Kazakhstan.  The Foundation subsequently announced that it had completed its mission and ceased operations.  (Source:  BOTA Foundation Final Summative Report, February 12, 2015, at https://www.irex.org/sites/default/files/BOTA%20Summative%20Report%20FIN....)  ","Unknown as to Unnamed Senior Officials 1-3.  According to the Judgment in a Criminal Case filed in the U.S. District Court for the Southern District of New York, Mercator Corporation pleaded guilty to one count violation of Foreign Corrupt Practices Act and was fined $32,000, which it satisfied on November 30, 2010.  (Sources: US v. Mercator Corporation, Case No. 1:03-cr-00404-WHP (S.D.N.Y.), Judgment in a Criminal Case filed on November 23, 2010 and Satisfaction of Judgment filed on December 9, 2010.)  According to the Judgment in a Criminal Case filed in US v. James Giffen in the U.S. District Court for the Southern District of New York, Mr. Giffen pleaded guilty to one count of willful failure to supply information regarding foreign bank accounts and sentenced to time served. (Source: US v. Giffen, Case No. 1:03-cr-00404-WHP (S.D.N.Y.), Judgment in a Criminal Case, filed on November 23, 2010.)"
Kazakhstan Oil Mining / James Giffen - Mercator Corporation (United States),Unspecified,"Art.16, Art.23",Yes,Criminal Prosecution and Settlement agreements; Non-conviction based confiscation ,"Memorandum of Understanding by Kazakhstan, Switzerland and the United States; World Bank administration of project",,"
	See also Swtizerland entry.  Pursuant to an Amended Memorandum of Understanding signed in May 2008 by the Governments of Kazakhstan, Switzerland and the United States, $84 million were to be returned to Kazakhstan. The funds were to be used to establish the BOTA Foundation, with its operations overseen by the World Bank.  (Source: Amended Memorandum of Understanding by the Swiss Confederation, United States and the Republic of Kazakhstan (May 2008).  According to the BOTA Foundation Independent Auditor's Report and special financial statements for the year ended 31 December 2013, the BOTA Program is funded with US$ 115 million (principal and interest) held on account No. T-94025 with Pictet and Cie in Switzerland in the name of the Treasury of the Ministry of Finance of the Republic of Kazakhstan.  The Foundation subsequently announced that it had completed its mission and ceased operations.  (Source:  BOTA Foundation Final Summative Report, February 12, 2015, at https://www.irex.org/sites/default/files/BOTA%20Summative%20Report%20FIN....)  

	 

	In addition, as part of their August 6, 2010 plea agreements, U.S. citizen  James Giffen and The Mercator Corporation relinquished any right or title they may have to additional Swiss accounts. (Sources: U.S. v. Approximately $84 million on deposit in account no. T-94025 in the name of the Treasury of the Ministry of Finance of the Republic of Kazakhstan, Case No. 2:07-cv-03559-LAP (S.D.N.Y.); August 6, 2010 plea agreements and information in U.S. v James H. Giffen, Case No. S4 03 Cr. 404 (WHP) and U.S. v The Mercator Corporation, Case No. S3 03 Cr. 404 (WHP) (S.D.N.Y.)).","Unknown as to Unnamed Senior Officials 1-3.  According to the Judgment in a Criminal Case filed in the U.S. District Court for the Southern District of New York, Mercator Corporation pleaded guilty to one count violation of Foreign Corrupt Practices Act and was fined $32,000, which it satisfied on November 30, 2010.  (Sources: US v. Mercator Corporation, Case No. 1:03-cr-00404-WHP (S.D.N.Y.), Judgment in a Criminal Case filed on November 23, 2010 and Satisfaction of Judgment filed on December 9, 2010.)  According to the Judgment in a Criminal Case filed in US v. James Giffen in the U.S. District Court for the Southern District of New York, Mr. Giffen pleaded guilty to one count of willful failure to supply information regarding foreign bank accounts and sentenced to time served. (Source: US v. Giffen, Case No. 1:03-cr-00404-WHP (S.D.N.Y.), Judgment in a Criminal Case, filed on November 23, 2010.)"
Kuwaiti Investment Organization,National Team established by the Kuwaiti Investment Organization,"Art.17, Art.23",Yes,Private Civil Action,"""The following items were critical to the success of asset recovery in the Kuwaiti case. -The establishment of a dedicated and competent National Team was critical to the success of the initiative. - Political will was secured to ensure the success of asset recovery. - The elimination of pressures helped to achieve breakthrough successes for stolen assets recovery efforts. - Processes were initiated against individuals, rather than institutions, resulting in less resistance and fewer legal battles. - Private law actions, for several reasons, were a well-established route for asset recovery.""  (Source: Dr. Mohammad A.A. Al Moqatei, ""Stolen Asset Recovery: A Case from Kuwait,"" in Stolen Asset Recovery: A Good Practices Guide for Non-Conviction Based Asset Forfeiture (Stolen Asset Recovery Initiative, 2009).",,"The United Kingdom's Privy Council wrote that Sheikh Fahad Mohammed Al Sabah, as the former head of the Kuwait Investment Authority in London, had ""embarked on a huge programme of investment in Spain through a Spanish company named  Grupo Torras  SA (""GT"").  With the help of co-conspirators the debtor defrauded GT on a very large scale. The misappropriations were effected by four separate fraudulent schemes between 1988 and 1990. After a long civil trial in London the debtor [the Sheikh] was found liable for very large damages (see  Grupo Torras  SA v Al Sabah [1999] CLC 1, 469). There have subsequently been various proceedings in different parts of the world by which GT, and more recently the [Sheikh's] Bahamian trustee in bankruptcy, have sought to recover funds in order to satisfy the judgment. The Sheikh was a resident of Bahamas, and on 29 June 2001 he was adjudicated bankrupt under the Bahamian Bankruptcy Act 1870. The bankruptcy was deemed to have commenced on 6 February 2001. GT's proof of debt was for a sum of the order of U.S.$800m. On 30 July 2001 the first meeting of creditors was held and Mr Clifford Culmer, a partner in BDO Mann Judge of Nassau, was appointed as trustee in bankruptcy.  The Sheikh was the settlor of two trusts governed by the law of the Cayman Islands. On 14 February 2002 the trustee in bankruptcy made an ex parte application to the Bahamian Grand Court for an order under section 122 of the Bankruptcy Act 1914 of the United Kingdom (or alternatively under the inherent jurisdiction) requesting aid from the Grand Court of the Cayman Islands"" which was subsequently granted.  (Source: Al Sabah & Anor v. Grupo Torras SA & Anor (Cayman Islands) [2005] UKPC 1 (11 January 2005), at http://www.bailii.org/uk/cases/UKPC/2005/1.html)",Unspecified
Kuwaiti Investment Organization,National Team established by the Kuwaiti Investment Organization,,Yes,Actions Initiated by Foreign Jurisdiction ,"""The following items were critical to the success of asset recovery in the Kuwaiti case. -The establishment of a dedicated and competent National Team was critical to the success of the initiative. - Political will was secured to ensure the success of asset recovery. - The elimination of pressures helped to achieve breakthrough successes for stolen assets recovery efforts. - Processes were initiated against individuals, rather than institutions, resulting in less resistance and fewer legal battles. - Private law actions, for several reasons, were a well-established route for asset recovery.""  (Source: Dr. Mohammad A.A. Al Moqatei, ""Stolen Asset Recovery: A Case from Kuwait,"" in Stolen Asset Recovery: A Good Practices Guide for Non-Conviction Based Asset Forfeiture (Stolen Asset Recovery Initiative, 2009).",,"The Kuwaiti Investment Organization sought enforcement of the English judgment in the Cayman Islands.  Early restraint orders were obtained by the Kuwaiti Investment Organization, enabling them to freeze trust assets belonging to Sheikh Fahad. Trusts maintained in Cayman by Sheikh Fahad were made to surrender their more than $30 million in assets, in partial satisfaction of the English judgment. (Source:  Cayman Islands Government, ""Enforcement of Judgments in Practice,"" posted at Cayman Islands Government website, at http://www.gov.ky/portal/page?_pageid=1142,1687439&_dad=portal&_schema=P....)",Unspecified
Kuwaiti Investment Organization,National Team established by the Kuwaiti Investment Organization,"Art.17, Art.23",Yes,Actions Initiated by Foreign Jurisdiction ,"""The following items were critical to the success of asset recovery in the Kuwaiti case. -The establishment of a dedicated and competent National Team was critical to the success of the initiative. - Political will was secured to ensure the success of asset recovery. - The elimination of pressures helped to achieve breakthrough successes for stolen assets recovery efforts. - Processes were initiated against individuals, rather than institutions, resulting in less resistance and fewer legal battles. - Private law actions, for several reasons, were a well-established route for asset recovery.""  (Source: Dr. Mohammad A.A. Al Moqatei, ""Stolen Asset Recovery: A Case from Kuwait,"" in Stolen Asset Recovery: A Good Practices Guide for Non-Conviction Based Asset Forfeiture (Stolen Asset Recovery Initiative, 2009).",,"The National Team established by the Kuwaiti Investment Organization sought to enforce the United Kingdom judgment in the Isle of Jersey where its former Sheikh Fahad held assets. The Jersey courts stated in the cases of In the Matter of the Esteem Settlement and the No. 52 Trust (Abacus (C.I.) Limited as Trustee) and Grupo Torras S.A. v. Al Sabah and six others [2002] JLR 53 that between May 1988 and October 1990, Sheikh Fahad conspired with others to defraud Grupo Torras of a total sum of approximately $430 million, of which $120 million was paid to Sheikh Fahad.  The court held that (a) Grupo Torras has a proprietary interest of 4.75% of 97 Dulwich Village and 4.27% of 242 Turney Road. Grupo Torras is entitled to an order which enables these interests to be realized. (b) The gift of Ceyla to the Esteem Settlement is to be set aside. Ceyla is entitled to recover the amount owed to it by the Esteem Settlement. (c) The gift of GBP 4 million to the No. 52 Trust is to be set aside. Grupo Torras is entitled to recover the net assets of the No. 52 Trust. (d) The gifts of GBP 1,693,500 and GBP 3,514,339 to the Esteem Settlement are to be set aside to the extent of 9.975% of the current value of 97 Dulwich Village.",Unspecified
Kuwaiti Investment Organization,National Team established by the Kuwaiti Investment Organization,"Art.17, Art.23",Yes,Criminal Prosecution,"""The following items were critical to the success of asset recovery in the Kuwaiti case. -The establishment of a dedicated and competent National Team was critical to the success of the initiative. - Political will was secured to ensure the success of asset recovery. - The elimination of pressures helped to achieve breakthrough successes for stolen assets recovery efforts. - Processes were initiated against individuals, rather than institutions, resulting in less resistance and fewer legal battles. - Private law actions, for several reasons, were a well-established route for asset recovery.""  (Source: Dr. Mohammad A.A. Al Moqatei, ""Stolen Asset Recovery: A Case from Kuwait,"" in Stolen Asset Recovery: A Good Practices Guide for Non-Conviction Based Asset Forfeiture (Stolen Asset Recovery Initiative, 2009).",,"The UK High Court - Queen's Bench, Commercial Court wrote in its June 24, 1999 decision that ""According to Sheikh Fahad, [criminal] proceedings have been on foot in Kuwait since 26th October 1992 against him and others for misappropriation of public funds."" (Source: Grupo Torras SA & Ors v Sheikh Fahad & Ors [1999] EWHC 300 (Comm) (24 June 1999), at 109.)   The same decision notes that the Kuwaiti Public Prosecutor in Kuwait brought criminal proceedings against Sheikh Fahad and others who are ""wanted for having embezzled large sums from these companies... that is from GT and THL [Grupo Torras and Torras Hostench London Limited].""   (Source: Grupo Torras SA & Ors v Sheikh Fahad & Ors [1999] EWHC 300 (Comm) (24 June 1999), at 108.)",Unspecified
Kuwaiti Investment Organization,National Team established by the Kuwaiti Investment Organization,"Art.17, Art.23",Yes,Criminal Prosecution and Forfeiture; Private Civil Action ,"""The following items were critical to the success of asset recovery in the Kuwaiti case. -The establishment of a dedicated and competent National Team was critical to the success of the initiative. - Political will was secured to ensure the success of asset recovery. - The elimination of pressures helped to achieve breakthrough successes for stolen assets recovery efforts. - Processes were initiated against individuals, rather than institutions, resulting in less resistance and fewer legal battles. - Private law actions, for several reasons, were a well-established route for asset recovery.""  (Source: Dr. Mohammad A.A. Al Moqatei, ""Stolen Asset Recovery: A Case from Kuwait,"" in Stolen Asset Recovery: A Good Practices Guide for Non-Conviction Based Asset Forfeiture (Stolen Asset Recovery Initiative, 2009).",,"According to a press report, in January 1993, the Kuwaiti Investment Organization (KIO) issued writs in the Spanish high court against Sheikh Fahad, Fouad Jaffar, Mr. de la Rosa and four other Spaniards who worked for the KIO. It accuses them of falsifying mercantile and public documents, fraud, manipulating prices and tax evasion, producing losses of well over 100 billion pesetas ($870 million).  The KIO also sought a freeze on their assets to cover the alleged financial responsibilities. (Source: Justin Webster, ""Kio's Spanish inquisition: The growing scandal of Kuwait's massive losses in Spain is exposing the dirty linen of one of the world's most secretive investment agencies and ringing government alarm bells. As the feud spills into the courts, Justin Webster looks at what lies behind the Grupo Torras disaster,"" The Independent (UK), January 10, 1993. Grupo Torras SA & Ors v Sheikh Fahad & Ors [1999] EWHC 300 (Comm) (24 June 1999) mentions a case in Spain, at 108.)",Unspecified
Kuwaiti Investment Organization,National Team established by the Kuwaiti Investment Organization,"Art.17, Art.23",Yes,Criminal Prosecution and Forfeiture; Private Civil Action ,"""The following items were critical to the success of asset recovery in the Kuwaiti case. -The establishment of a dedicated and competent National Team was critical to the success of the initiative. - Political will was secured to ensure the success of asset recovery. - The elimination of pressures helped to achieve breakthrough successes for stolen assets recovery efforts. - Processes were initiated against individuals, rather than institutions, resulting in less resistance and fewer legal battles. - Private law actions, for several reasons, were a well-established route for asset recovery.""  (Source: Dr. Mohammad A.A. Al Moqatei, ""Stolen Asset Recovery: A Case from Kuwait,"" in Stolen Asset Recovery: A Good Practices Guide for Non-Conviction Based Asset Forfeiture (Stolen Asset Recovery Initiative, 2009).",Unknown,"Grupo Torras SA & Ors v Sheikh Fahad & Ors [1999] EWHC 300 (Comm) (24 June 1999)
makes mention of criminal case in Switzerland.  The court noted that the State of Kuwait requested judicial cooperation in June 1997 to the Swiss Police.  The court notes, on several instances, that Swiss Investigating Magistrate Juge Tappolet obtained numerous bank account documents in connection with his criminal investigation of the case. (Source: Grupo Torras SA & Ors v Sheikh Fahad & Ors [1999] EWHC 300 (Comm) (24 June 1999), at 108 and throughout).",Unspecified
Kuwaiti Investment Organization,National Team established by the Kuwaiti Investment Organization,"Art.17, Art.23",Yes,Private Civil Action ,"""The following items were critical to the success of asset recovery in the Kuwaiti case. -The establishment of a dedicated and competent National Team was critical to the success of the initiative. - Political will was secured to ensure the success of asset recovery. - The elimination of pressures helped to achieve breakthrough successes for stolen assets recovery efforts. - Processes were initiated against individuals, rather than institutions, resulting in less resistance and fewer legal battles. - Private law actions, for several reasons, were a well-established route for asset recovery.""  (Source: Dr. Mohammad A.A. Al Moqatei, ""Stolen Asset Recovery: A Case from Kuwait,"" in Stolen Asset Recovery: A Good Practices Guide for Non-Conviction Based Asset Forfeiture (Stolen Asset Recovery Initiative, 2009).",,"Dr. Mohammad A.A. Al Moqatei, ""Stolen Asset Recovery: A Case from Kuwait,"" in Stolen Asset Recovery: A Good Practices Guide for Non-Conviction Based Asset Forfeiture (Stolen Asset Recovery Initiative, 2009) provides an overview of Kuwaiti Investment Organization's worldwide recovery efforts.  The Case Study noted that legal actions took place in a total of nineteen jurisdictions, including the Bahamas, Cayman Islands, Jersey, Kuwait, Spain, Switzerland the United Kingdom. (Please see separate entries.)  In 1993, the Kuwaiti Investment Organization initiated civil proceedings which resulted in a 1999 judgment in the UK commercial court in its favor of $687 million in damages. [1999 EWHC 300 (Comm) - Grupo Torras SA and Torras Hostench London Limited (in liquidation), Plaintiffs, -and- Sheikh Fahad Mohammed Al-Sabah, and others (total 56 defendants, comprised of natural persons and associated corporate vehicles).  The United Kingdom judgment was the basis for proceedings in the Bahamas, Cayman Islands, and Jersey where trusts and other assets belonging to the main defendant Sheikh Fahad were located.",Unknown
Leonid Reiman / Jeffrey Galmond / IPOC International Growth Fund Ltd. (Bermuda),N/A,"Art.19, Art.23",Yes,Other,"Joint investigation by the British Virgin Islands and Bermuda into the corporate vehicles domiciled in their respective jurisdictions.  The British Virgin Islands High Court noted in its judgment against IPOC International Growth Fund Limited and co-defendants that ""In his concluding remarks, Mr Hodge QC [Queen's Counsel] commended the work done by the Bermuda Police and the Royal Virgin Islands Police Force as well as the Attorney General's Chambers in both jurisdictions saying that well over one-half million pages of documents were produced during the 17 month investigation signifying the complexity and density of this case.""  (Source: In the Matter of the Proceeds of Criminal Conduct Act (No. 5 of 1997) of the Laws of the Virgin Islands between The Queen v. (1) IPOC International Growth Fund Limited, (2) Lapal Limited, (3) Albany Invest Limited, (4) Mercury Import Limited, The Eastern Caribbean Supreme Court in the High Court of Justice (Criminal Jurisdiction), Criminal Case. No. 12 of 2008.)",,"Please see entry case entry for British Virgin Islands.  In a Ministerial address of May 18, 2008, Bermuda's then-Minister of Finance Paula Cox stated that on May 7, 2008, in the Supreme Court of Bermuda, Justice Kwaley ordered that a group of companies collectively referred to as IPOC be wound up under the provisions of sections 1232(10)(a) and 161 (g) of the Companies Act 1981.  Minister Cox, acting as Finance Minister under authority of section 132 of the Companies Act to initiate investigation of companies, hired the consulting firm, KPMG to investigate the IPOC International Growth Fund.  Based on KPMG's findings, the wind-up petition was presented to the Supreme Court in 2007. Bermuda cooperated with British Virgin Islands in that jurisdiction's investigation of IPOC and she stated that ""As a result of the criminal conviction in the BVI, some $45 million of assets belonging to IPOC has been confiscated and will be shared equally between the British Virgin Islands and Bermuda.  Bermuda's share of these proceeds will be placed in the Confiscated Assets Fund.""  (Source: Ministerial Statement by Minister Paula Cox, May 18, 2008 at http://www.plp.bm/node/1273, posted at http://www.plp.bm/node/1273.)","According to a judgment by the British Virgin Islands High Court of Justice, in 2008, the IPOC International Growth Fund and three associated international business companies formed in BVI (Lapal Limited, Albany Invest Limited, and Mercury Import Limited) pleaded guilty and were each convicted of two counts of perverting the course of justice and furnishing false information, in violation of the BVI Criminal Code. (Source: Judgement in AG v. IPOC International Growth Fund Limited, Jeffrey Galmond, and others, Claim No. BVIHCV2007/0088, British Virgin Islands High Court of Justice (civil) and In the Matter of the Proceeds of Criminal Conduct Act (No. 5 of 1997) of the Laws of the Virgin Islands, between The Queen v. IPOC International Growth Fund Limited and others, Crim Case No. 12 of 2008, British Virgin Islands, High Court of Justice (criminal jurisdiction)."
